pdf_page,observed_folio,image,image_sha256,baseline_status,secure_baselines
164,,ledger-images/page-164.jpg,9fd46fc0f29ff29a810a607ba49b8b3d1b7b7a6b88d5aaef9af3b5b7f99ccb25,unsegmented,0
165,,ledger-images/page-165.jpg,28f55be87393373cca461c8d91c08dc4d7dd8b85dd153c3f377bc4e1599bf4ea,unsegmented,0
166,,ledger-images/page-166.jpg,dd25dd06d99011ae072746e30210dfcba4bd6061948389c1330906b8202c3e15,unsegmented,0
167,,ledger-images/page-167.jpg,3e4bba95feaf39bb5d9ac24d8ee27689c92f967e27c910e33d9c36ff56349634,unsegmented,0
168,,ledger-images/page-168.jpg,bea6a8375650247b46709f3f3cf775262e78f59d49509fdc1ad376d98d2a5646,unsegmented,0
169,,ledger-images/page-169.jpg,f9f492cb109aa45a4300c03a347b615ed85ff1e43d82ed3c31b69a934db638a6,unsegmented,0
170,,ledger-images/page-170.jpg,5754ac62d41bee4c583c7cc8d676f5219e1aaec7607548755fe077d82b3f8559,unsegmented,0
171,,ledger-images/page-171.jpg,0cb2bd5c87325e320db61a1457b07a9dd955ccce8f9143c9904131e61d99d09b,unsegmented,0
172,,ledger-images/page-172.jpg,d97e18a95e1f1afa69d6a95bc814266cbb4f56b33aafab69fb0d5d9e4b0b3302,unsegmented,0
173,,ledger-images/page-173.jpg,3715f68dfb83149638000ceef133fb96963bb090a3970869c648d8f42dfa1299,unsegmented,0
174,,ledger-images/page-174.jpg,db70ae9f64fa89426d15f0185567396b64f434e6ced03beb67449f7d9e7eb0ef,unsegmented,0
175,,ledger-images/page-175.jpg,2db38c4765a3a718e280b08bb7d6e23bbe212016c8efc38f6ba23935afd446a6,unsegmented,0
176,,ledger-images/page-176.jpg,d16649b6f298fc20f7140accb694d73ee168275faf45564ecbbb547ed4632d6d,unsegmented,0
177,,ledger-images/page-177.jpg,7487c770b9a1a80b06077a16e10ed4590ca8717408f0ac6ef2f63bcae0d13247,unsegmented,0
178,,ledger-images/page-178.jpg,cdc51bb394b98c23e5592ffad998cfc64b434247acd8403cf10b2809051ece86,unsegmented,0
179,,ledger-images/page-179.jpg,c6e6cfdd419f71d279287e5a067106e3c605509126738f94ce9e17dc9be545e8,unsegmented,0
180,,ledger-images/page-180.jpg,00c0d39ca8b8c1df710d615aa377004148c7f69084af33c9639629abb09ed75e,unsegmented,0
181,,ledger-images/page-181.jpg,9b5d8e729777e3e72fdf1ae18ae89e6b2d74b26442e22a86a6e4d618915a4270,unsegmented,0
182,,ledger-images/page-182.jpg,d02d575f90b4eaca534fc8ce5a197e54e2c034a44f1a87412f5506ca3b6f8472,unsegmented,0
183,,ledger-images/page-183.jpg,eedd1d3a1573db2fdf893f9b1a17c89e2fb22cb8d6115503ff477ccbca802ca8,unsegmented,0
184,,ledger-images/page-184.jpg,ff7c3ee7e0fd0f9f4aa0d6ecb9d38d96c29eaf9641122a94897d3a81fd069398,unsegmented,0
185,,ledger-images/page-185.jpg,4e3cc6d948ff6e0035e69a1f8b8de9c33faf5257ee8cd2b8884c2230b6197e1a,unsegmented,0
186,,ledger-images/page-186.jpg,2109ae305a9bc623745b15edc00883bb7748d0188404514735f9aad95095994e,unsegmented,0
187,,ledger-images/page-187.jpg,bde0b43e79e21d84c4cb39a4889e218f1e7fa3be4642791c3900d35b47ed2a6b,unsegmented,0
188,,ledger-images/page-188.jpg,a6a9b667436f9df86fc0d1816b3aaa7d3c637ae89ed1c0cdc8a3ac130788c9d3,unsegmented,0
189,,ledger-images/page-189.jpg,c9825d535b11032b8730233f51093f9d1872c6dfc4acf358c36d719ac5415b25,unsegmented,0
190,,ledger-images/page-190.jpg,a15c67c05ee616eec6f0fc5889b6ac0a4dc13d84e09ef2c31a600f145549f3e9,unsegmented,0
191,,ledger-images/page-191.jpg,d02d3607c86d0e30c956a4d611e36f335f1f39ea1f8e4a25bb7f7f663ab8deb9,unsegmented,0
192,,ledger-images/page-192.jpg,0ec5a8dc356d1b06ac7c157c1d2aaf9c92abd56f69b4fdd9c433185e0edfebb3,unsegmented,0
193,190,ledger-images/page-193.jpg,384fab279897b62ac480d9f9edbc3bc7753a78aecc582290a5eb4c7a6e258f75,unsegmented,0
